"Distance (km)","50%","2.5%","97.5%","Included time period","Aggregation of infection histories/metric"
13.6184592470864,0.73045722851379,0.698831771439005,0.75489978542788,"All times","Annual"
13.8217198328638,0.730764730199359,0.699339733409994,0.75521719885528,"All times","Annual"
14.0249804186412,0.731002719359253,0.699862896153306,0.75553864037436,"All times","Annual"
14.2282410044186,0.73124496187763,0.70039911761786,0.75586275743325,"All times","Annual"
14.431501590196,0.731491695754296,0.700946539362514,0.756188739382198,"All times","Annual"
14.6347621759734,0.731797321770106,0.701503282245572,0.756515864127214,"All times","Annual"
14.8380227617508,0.732211853080869,0.702067145437224,0.756843216417414,"All times","Annual"
15.0412833475283,0.732627875469375,0.702635829221694,0.757169637739897,"All times","Annual"
15.2445439333057,0.732971717856968,0.70315703336392,0.757516715232179,"All times","Annual"
15.4478045190831,0.733306383952715,0.703654947705383,0.757882093846787,"All times","Annual"
