"","LOC_Long","LOC_Lat","log10(Population)"
"120",113.5875,23.5541666666667,3.5434471800817
"121",113.595833333334,23.5541666666667,2.70500795933334
"122",113.604166666667,23.5541666666667,3.08421868673924
"123",113.6125,23.5541666666667,3.74209640230324
"124",113.620833333334,23.5541666666667,2.51321760006794
"125",113.629166666667,23.5541666666667,2.42488163663107
"126",113.6375,23.5541666666667,2.16136800223497
"127",113.645833333334,23.5541666666667,3.18383903705642
"128",113.654166666667,23.5541666666667,1.64345267648619
"129",113.6625,23.5541666666667,1.17609125905568
"130",113.670833333334,23.5541666666667,1.11394335230684
"131",113.679166666667,23.5541666666667,1.72427586960079
"132",113.6875,23.5541666666667,1.54406804435028
"133",113.695833333334,23.5541666666667,1
"134",113.704166666667,23.5541666666667,1
"135",113.7125,23.5541666666667,2.92992956008459
