"Date","Birth cohort","Lower 95% CrI","Posterior median","Upper 95% CrI","Precision","Coefficient of variation"
1978.5,"[-1968]",0,0.0120845921450151,0.0513595166163142,4760.37695252804,0.0144937020121669
1978.75,"(1978,1988]",0,0.111111111111111,0.444444444444444,54.238890006033,0.135782751017912
1978.75,"(1968,1978]",0,0.0182648401826484,0.0960045662100455,1522.53001300694,0.0256281388790763
1978.75,"[-1968]",0,0.0105740181268882,0.0528700906344411,5195.07593017454,0.0138740753956903
1979,"(1978,1988]",0,0.0909090909090909,0.454545454545455,54.8260026533321,0.135053768967207
1979,"(1968,1978]",0,0.0182648401826484,0.091324200913242,1576.01428144803,0.025189521961638
1979,"[-1968]",0,0.0120845921450151,0.0574395770392749,4269.17798165984,0.0153048074308642
1979.25,"(1978,1988]",0,0.117647058823529,0.529411764705882,43.856849527216,0.151001508054302
1979.25,"(1968,1978]",0,0.0319634703196347,0.127853881278539,776.086175963488,0.0358959148386378
1979.25,"[-1968]",0,0.0211480362537764,0.0800604229607251,1993.07742021563,0.022399478922868
1979.5,"(1978,1988]",0,0.0588235294117647,0.411764705882353,80.7740471991198,0.111266410583602
1979.5,"(1968,1978]",0,0.0182648401826484,0.0867579908675799,1615.38770419654,0.0248806437890083
1979.5,"[-1968]",0,0.0120845921450151,0.0574018126888218,4070.35504102241,0.0156741447689025
1979.75,"(1978,1988]",0,0.15,0.45,69.987193534556,0.119533795758055
1979.75,"(1968,1978]",0,0.0273972602739726,0.105022831050228,1240.9767211574,0.0283869140341808
1979.75,"[-1968]",0,0.0181268882175227,0.06797583081571,2910.60192424291,0.0185356830195898
1980,"(1978,1988]",0,0.0952380952380952,0.380952380952381,94.1158048301757,0.103078649459596
1980,"(1968,1978]",0,0.0205479452054795,0.0958904109589041,1442.24652176044,0.0263317819363265
1980,"[-1968]",0,0.0143504531722054,0.0604607250755287,3403.80331067844,0.0171402744600727
1980.25,"(1978,1988]",0,0.0869565217391304,0.347826086956522,104.485842132902,0.0978298249226617
1980.25,"(1968,1978]",0,0.0182648401826484,0.0821917808219178,1911.75173941018,0.0228709525566937
1980.25,"[-1968]",0,0.0120845921450151,0.0544184290030211,4332.52857689569,0.0151925012944378
1980.5,"(1978,1988]",0,0.0714285714285714,0.321428571428571,123.810783932939,0.0898712460772839
1980.5,"(1968,1978]",0,0.0182648401826484,0.0823059360730592,1926.39402113527,0.0227838671245781
1980.5,"[-1968]",0,0.013595166163142,0.0589123867069486,3919.60489326425,0.0159727191107052
1980.75,"(1978,1988]",0,0.181818181818182,0.454545454545455,69.594987369204,0.119870142006291
1980.75,"(1968,1978]",0,0.0365296803652968,0.123287671232877,954.735153121257,0.0323637280566304
1980.75,"[-1968]",0.00151057401812689,0.0287009063444109,0.0861027190332326,1926.30783197383,0.0227843768303489
1981,"(1978,1988]",0,0.128205128205128,0.384615384615385,93.2637191936991,0.103548457730434
1981,"(1968,1978]",0,0.0319634703196347,0.105022831050228,1291.96207874758,0.0278211524934727
1981,"[-1968]",0,0.0226586102719033,0.0770392749244713,2320.38232868389,0.0207596594706954
1981.25,"(1978,1988]",0,0.0697674418604651,0.27906976744186,170.914268472245,0.0764910882492319
1981.25,"(1968,1978]",0,0.0136986301369863,0.0776255707762557,2236.50671686654,0.0211453509036918
1981.25,"[-1968]",0,0.0120845921450151,0.0589501510574018,4160.45609554921,0.0155034919582815
1981.5,"(1978,1988]",0,0.0638297872340425,0.276595744680851,163.291447490464,0.078256114439976
1981.5,"(1968,1978]",0,0.0136986301369863,0.0777397260273971,2327.79260552232,0.0207265900624097
1981.5,"[-1968]",0,0.0120845921450151,0.055929003021148,4313.29129147986,0.0152263428919274
1981.75,"(1978,1988]",0,0.04,0.2205,246.319653970941,0.0637162880695771
1981.75,"(1968,1978]",0,0.0136986301369863,0.0639269406392694,3482.83791634391,0.016944679862913
1981.75,"[-1968]",0,0.00906344410876133,0.0468655589123867,6314.00862512812,0.0125848317751665
1982,"(1978,1988]",0,0.0192307692307692,0.153846153846154,502.745909053344,0.0445990622598837
1982,"(1968,1978]",0,0.0091324200913242,0.045662100456621,6159.75509102122,0.0127414330750948
1982,"[-1968]",0,0.00604229607250755,0.0332326283987915,12288.5600006737,0.0090208924039936
1982.25,"(1978,1988]",0,0.037037037037037,0.185185185185185,371.337403267674,0.0518938212974673
1982.25,"(1968,1978]",0,0.0091324200913242,0.0547945205479452,4067.63709300311,0.0156793805354756
1982.25,"[-1968]",0,0.00604229607250755,0.0377643504531722,8967.84596319091,0.0105598057668263
1982.5,"(1978,1988]",0,0.0847457627118644,0.288135593220339,135.281471841923,0.0859767135344869
